City,Country,Date,Temperature,Humidity,Wind Speed,Cloudiness,Latitude,Longitude
solnechnyy,RU,1572727308,-2.29,59,0.22,100,50.72,136.64
pochutla,MX,1572727308,32.25,62,3.1,20,15.74,-96.47
pilot butte,CA,1572727308,3.11,69,5.7,90,50.48,-104.42
angoche,MZ,1572727308,24.54,87,2.88,14,-16.23,39.91
awjilah,LY,1572727308,18.73,68,3.2,0,29.14,21.3
pahrump,US,1572727308,20.55,5,0.75,1,36.21,-115.98
maningrida,AU,1572727308,25.29,82,1.1,95,-12.05,134.23
kudahuvadhoo,MV,1572727308,27.87,70,0.57,68,2.67,72.89
assare,BR,1572727308,31.91,25,2.82,89,-6.87,-39.88
florianopolis,BR,1572727261,24.18,83,7.7,20,-27.6,-48.55
faanui,PF,1572727308,27.26,78,4.96,38,-16.48,-151.75
nouadhibou,MR,1572727308,22.0,73,5.7,0,20.93,-17.03
listvyagi,RU,1572727309,-2.92,76,2.79,44,53.68,86.95
west fargo,US,1572727108,2.33,59,3.6,90,46.88,-96.9
cordoba,AR,1572727309,24.17,40,12.1,1,-27.78,-67.24
hasaki,JP,1572727309,10.12,93,2.1,40,35.73,140.83
garowe,SO,1572727019,27.57,61,5.43,38,8.41,48.48
duldurga,RU,1572727309,-6.53,69,0.71,0,50.67,113.59
phalodi,IN,1572727309,25.5,44,2.57,0,27.13,72.36
atherton,AU,1572727309,21.46,78,2.6,75,-17.27,145.48
tautira,PF,1572727309,30.0,70,8.7,75,-17.73,-149.15
lavrentiya,RU,1572727309,-4.3,84,2.65,67,65.58,-170.99
port blair,IN,1572727309,27.92,72,2.58,0,11.67,92.75
ambon,FR,1572727309,11.24,93,2.1,75,47.55,-2.56
portland,US,1572727309,6.92,62,2.6,90,43.66,-70.25
havre-saint-pierre,CA,1572727309,4.0,60,1.0,75,50.23,-63.6
cabra,ES,1572727310,17.45,77,5.1,65,37.47,-4.43
sumbe,AO,1572727310,24.39,87,1.57,99,-11.2,13.84
tiksi,RU,1572727310,-19.81,84,2.19,22,71.64,128.87
gejiu,CN,1572727310,12.22,96,0.89,48,23.36,103.16
marietta,US,1572727288,14.12,35,2.6,1,33.95,-84.55
dicabisagan,PH,1572727310,25.28,85,2.97,68,17.08,122.42
allapalli,IN,1572727310,20.39,88,0.66,92,19.43,80.06
huilong,CN,1572727310,14.6,91,0.55,0,31.15,106.5
baiyin,CN,1572727310,0.0,54,3.0,0,36.55,104.13
gallup,US,1572727310,16.17,9,3.1,1,35.53,-108.74
serenje,ZM,1572727310,18.22,73,2.26,0,-13.23,30.22
bagamoyo,MZ,1572727310,23.94,83,4.6,40,-25.89,32.56
puerto rondon,CO,1572727310,29.64,77,1.45,0,6.28,-71.1
zambezi,ZM,1572727311,22.7,41,1.82,2,-13.55,23.12
caconda,AO,1572727311,21.79,53,1.2,70,-13.73,15.06
canto do buriti,BR,1572727311,31.58,34,2.21,97,-8.11,-42.94
san juan,AR,1572727311,25.13,14,7.86,0,-31.54,-68.53
tuatapere,NZ,1572727311,19.1,45,2.77,0,-46.13,167.69
veraval,FR,1572727311,10.44,81,9.3,90,49.65,0.71
canmore,CA,1572727154,7.73,34,6.2,75,51.09,-115.35
isla mujeres,MX,1572727311,30.0,66,3.1,75,21.23,-86.73
scarborough,GB,1572727311,8.23,93,2.6,100,54.28,-0.41
richards bay,ZA,1572727311,23.66,80,5.76,0,-28.77,32.06
usinsk,RU,1572727311,-15.72,98,2.48,63,66.0,57.56
surt,LY,1572727311,20.24,64,2.31,0,31.21,16.59
dera ghazi khan,PK,1572727312,22.39,51,1.93,0,30.03,70.64
jaguaruana,BR,1572727312,26.33,70,4.79,54,-4.83,-37.78
campos,PT,1572727312,14.74,87,6.2,90,41.97,-8.7
empalme,MX,1572727312,30.27,37,5.1,40,27.96,-110.81
jaen,PE,1572727312,21.84,77,1.57,97,-5.71,-78.81
itaparica,BR,1572727312,26.0,83,7.7,75,-12.89,-38.68
san juancito,AR,1572727312,36.0,28,3.6,20,-24.38,-64.99
kungurtug,RU,1572727312,-0.23,62,1.9,22,50.6,97.53
shahreza,IR,1572727312,7.55,29,0.88,0,32.01,51.87
wadi musa,JO,1572727312,14.53,57,0.92,99,30.32,35.48
nokaneng,BW,1572727312,24.46,58,2.64,34,-19.66,22.19
rocha,UY,1572727312,18.6,80,5.04,100,-34.48,-54.34
juneau,US,1572727313,7.79,100,2.64,90,58.3,-134.42
gladstone,AU,1572727313,22.12,83,2.1,90,-23.84,151.26
san policarpo,PH,1572727313,25.62,85,1.92,45,12.18,125.51
maldonado,UY,1572727313,20.0,88,4.6,90,-34.91,-54.96
mbandaka,CD,1572727313,22.63,94,0.03,100,0.05,18.26
parakou,BJ,1572727313,24.08,80,2.81,100,9.34,2.63
de aar,ZA,1572727313,14.3,21,1.14,42,-30.65,24.01
santiago,PH,1572727079,22.16,98,0.36,100,16.69,121.54
periyanayakkanpalaiyam,IN,1572727313,25.0,94,1.32,20,11.15,76.93
manaure,CO,1572727313,30.0,74,5.1,75,11.78,-72.45
cabo san lucas,MX,1572727232,29.93,38,4.1,5,22.89,-109.91
poronaysk,RU,1572727313,1.32,66,8.53,82,49.22,143.1
xining,CN,1572727314,0.84,41,1.55,0,36.62,101.77
adre,TD,1572727314,24.29,22,4.34,17,13.47,22.2
ossora,RU,1572727314,3.13,85,7.74,100,59.24,163.07
leticia,CO,1572727314,31.5,59,1.5,40,-4.21,-69.94
hofn,IS,1572727314,4.46,89,14.52,100,64.25,-15.21
natal,BR,1572727314,27.0,69,6.2,20,-5.81,-35.21
muros,ES,1572727314,14.44,100,5.7,75,42.77,-9.06
shymkent,KZ,1572727314,9.0,93,3.0,100,42.31,69.59
baracoa,CU,1572727314,27.56,72,3.56,35,20.35,-74.5
vaitape,PF,1572727314,27.26,78,4.96,38,-16.52,-151.75
santa barbara,US,1572727070,25.49,5,2.95,1,34.42,-119.7
kedrovyy,RU,1572727314,-3.0,63,3.0,100,56.17,91.82
merauke,ID,1572727314,24.77,77,2.72,96,-8.49,140.4
miri,NG,1572727314,25.39,38,0.67,83,10.31,9.75
flinders,AU,1572727315,18.71,82,0.5,40,-34.58,150.85
leshukonskoye,RU,1572727315,-8.6,94,2.2,77,64.9,45.76
pontianak,ID,1572727315,23.45,93,0.43,100,-0.02,109.34
bambanglipuro,ID,1572727315,23.18,89,2.97,93,-7.95,110.28
kushima,JP,1572727315,20.81,76,1.14,92,31.5,131.29
athni,IN,1572727315,21.17,90,1.64,54,16.73,75.07
nyurba,RU,1572727315,0.07,89,5.17,100,63.29,118.35
nizhniy odes,RU,1572727315,-8.02,95,1.16,84,63.64,54.86
boende,CD,1572727316,21.41,96,1.32,100,-0.28,20.88
pangoa,PE,1572727316,31.15,50,1.7,22,-12.12,-73.0
novoagansk,RU,1572727316,-15.23,93,4.77,90,61.94,76.66
hovd,NO,1572727316,0.71,100,1.0,20,63.83,10.7
mananjary,MG,1572727316,14.98,79,5.4,72,-19.16,46.8
mahasamund,IN,1572727316,21.06,73,0.67,33,21.11,82.1
nishihara,JP,1572727316,13.19,93,1.5,40,35.74,139.53
pokhara,NP,1572727316,15.6,86,1.42,0,28.21,83.99
pinheiro machado,BR,1572727316,19.76,4,1.79,100,-31.58,-53.38
marawi,PH,1572727316,24.44,93,1.79,63,8.0,124.29
baruun-urt,MN,1572727316,-3.1,38,2.36,0,46.68,113.28
beloha,MG,1572727316,19.08,76,6.29,53,-25.17,45.06
sola,TZ,1572727316,23.2,41,3.04,64,-3.17,33.8
celestun,MX,1572727316,26.27,84,11.29,65,20.87,-90.4
rockhampton,AU,1572727316,22.0,83,3.59,90,-23.38,150.51
dukat,AL,1572727317,17.22,93,1.34,100,40.25,19.57
saint-francois,FR,1572727317,12.2,82,2.1,100,46.42,3.91
ishigaki,JP,1572727317,25.35,86,7.24,79,24.34,124.16
paamiut,GL,1572727317,1.06,55,2.65,47,61.99,-49.67
dawson creek,CA,1572727317,7.0,70,4.6,40,55.76,-120.23
vao,EE,1572727317,3.45,94,4.77,100,59.1,26.19
teya,MX,1572727317,28.02,74,5.1,75,21.05,-89.07
elmira,US,1572727317,7.54,39,5.1,20,42.09,-76.81
butia,BR,1572727317,27.78,50,1.79,32,-21.88,-47.57
sampit,ID,1572727317,23.6,95,0.36,100,-2.54,112.95
salobrena,ES,1572727317,15.84,77,5.7,40,36.74,-3.59
salinopolis,BR,1572727317,27.38,81,8.35,29,-0.61,-47.36
pisco,PE,1572727317,21.2,30,9.8,37,-13.71,-76.2
kunya,NG,1572727317,28.22,29,2.29,100,12.22,8.53
inongo,CD,1572727318,21.6,95,0.58,27,-1.93,18.29
mezhdurechenskiy,RU,1572727318,-6.41,94,3.05,91,59.59,65.91
kokopo,PG,1572727318,26.06,91,7.88,100,-4.34,152.27
bagdarin,RU,1572727318,-10.49,86,0.55,20,54.44,113.59
makakilo city,US,1572727318,27.8,74,2.1,20,21.35,-158.09
lazo,RU,1572727318,-3.48,54,4.3,0,45.88,133.65
mastic beach,US,1572727318,10.15,53,4.6,20,40.77,-72.85
eucaliptus,BO,1572727318,17.08,26,4.15,98,-17.6,-67.51
borovskoy,KZ,1572727318,-4.57,80,3.92,18,53.8,64.15
ongandjera,NA,1572727318,27.73,36,4.71,43,-17.88,15.07
lapua,FI,1572727318,1.74,100,2.1,90,62.97,23.01
